league_id,league_name,league_type,country,country_code,seasons,num_seasons,season_category,total_seasons_country,season_share,total_seasons_type,season_share_type
4,Euro Championship,Cup,World,None,"[2008, 2012, 2016, 2020, 2024]",5,Medium,28,0.17857142857142858,199,0.025125628
21,Confederations Cup,Cup,World,None,"[2009, 2013, 2017]",3,Low,28,0.10714285714285714,199,0.015075377
62,Ligue 2,League,France,FR,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,High,128,0.125,1213,0.013190436933223413
61,Ligue 1,League,France,FR,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,High,128,0.125,1213,0.013190436933223413
144,Jupiler Pro League,League,Belgium,BE,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,High,16,1,1213,0.013190436933223413
71,Serie A,League,Brazil,BR,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,High,16,1,1213,0.013190436933223413
39,Premier League,League,England,GB-ENG,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,High,136,0.11764705882352941,1213,0.013190436933223413
78,Bundesliga,League,Germany,DE,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,High,16,1,1213,0.013190436933223413
135,Serie A,League,Italy,IT,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,High,16,1,1213,0.013190436933223413
88,Eredivisie,League,Netherlands,NL,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,High,16,1,1213,0.013190436933223413
94,Primeira Liga,League,Portugal,PT,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,High,16,1,1213,0.013190436933223413
140,La Liga,League,Spain,ES,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,High,16,1,1213,0.013190436933223413
